Rank,PreviousRank,Period,BookID,Title,Subtitle,ISBN,CmdtCode,ReleaseDate,Publisher,Author,Price,SalePrice,DiscountRate,Score,ReviewCount
15,13,2026061020260616,S000218853684,2026 수제비 정보처리기사 실기 기본서,수험용 앱 제공 + 2025년 기출문제 + 암기 비법 PDF + 온라인 강의,1199551031,9791199551039,20260105,수제비출판사,윤영빈 외,40000,36000,10.0,9.6,30
16,18,2026061020260616,S000001952241,진짜 쓰는 실무 엑셀,"유튜브 대표 엑셀 채널, 오빠두가 알려 주는 엑셀 함수, 보고서 작성, 데이터 분석 노하우!",119160070X,9791191600704,20220215,제이펍,오빠두(전진권),21000,18900,10.0,9.7,454
17,16,2026061020260616,S000220036708,"다시, 소프트웨어 엔지니어",AI 시대에도 결코 대체되지 않을 개발자의 기본 역량과 생존법,1124309071,9791124309070,20260529,책만,네서니얼 슈타 외,30000,27000,10.0,10.0,1
18,17,2026061020260616,S000218846417,2026 ADsP 데이터분석 준전문가,데이터에듀PT문제풀이앱+2025년도 최신 기출,1193672384,9791193672389,20251226,데이터에듀,윤종식,31000,27900,10.0,9.8,79
19,19,2026061020260616,S000219524044,"클로드 코워크 with 스킬, 플러그인",퇴근을 앞당기는 완벽한 업무 자동화,1175790427,9791175790421,20260330,한빛미디어,클리커 외,26000,23400,10.0,10.0,24
20,22,2026061020260616,S000219002818,AI 에이전트 엔지니어링,"단일 에이전트부터 멀티 에이전트 시스템까지, AI 앱 개발 올인원 가이드",1175790133,9791175790131,20260123,한빛미디어,마이클 알바다 외,32000,28800,10.0,9.7,24
21,28,2026061020260616,S000218962409,이지패스 2026 SQLD SQL 개발자,SQL 초보자를 위해 친절하게 설명한,1158396589,9791158396589,20260116,위키북스,전용문 외,26000,23400,10.0,10.0,130
22,24,2026061020260616,S000218197628,2026 시나공 정보처리기사 필기 기본서,,114071614X,9791140716142,20251124,길벗,길벗알앤디,35000,31500,10.0,9.8,19
23,26,2026061020260616,S000218090665,2026 한 권으로 끝내는 시나공 컴활 1급 필기+실기,,1140715879,9791140715879,20251015,길벗,길벗알앤디,40000,36000,10.0,9.8,36
24,21,2026061020260616,S000219796225,된다! 캡컷 영상 편집,"긴 유튜브 영상도 쇼츠ㆍ릴스도 OK! 크로마키, 자동 자막부터 AI 더빙까지",1163038504,9791163038504,20260506,이지스퍼블리싱,지민이,22000,19800,10.0,9.9,15
25,31,2026061020260616,S000220220936,AI 시대에 개발자가 알아야 할 인프라 구성 배포 with 클로드 코드,"자연어로 구축하고 운영하는 AI 네이티브 시대의 첫 인프라 실습서! AI 에이전트, GCP, AWS, Azure, 코덱스 CLI, 제미나이 CLI, 스타트업, 엔터프라이즈, 바이브코딩, GitAIOps, AI 튜터, 가드레일",1140719173,9791140719174,20260619,길벗,조훈,24000,21600,10.0,10.0,1
26,23,2026061020260616,S000219083573,2026 알기사 정보보안기사(산업기사) 실기,최고합격률과 적중률 기록(합격수기포함),8966113427,9788966113422,20260130,지안에듀,정일영,46000,41400,10.0,10.0,5
27,20,2026061020260616,S000219931400,프로덕트 디자이너로 살아남기,"인공지능의 시대, 디자이너의 일",1198662204,9791198662200,20260527,이오스튜디오,강영화,19000,17100,10.0,10.0,5
28,25,2026061020260616,S000219811055,2026 해커스 전산세무 2급 한권합격 이론+실무+최신기출 12회분+무료특강,빈출분개+연말정산 미니북 | 최신 개정세법 자료집 | 기초 회계원리 학습자료 | 본 교재 인강,117644056X,9791176440561,20260427,해커스금융,이남호,32000,28800,10.0,7.3,8
29,30,2026061020260616,S000218499838,2026 시나공 컴퓨터활용능력 2급 필기 기출문제집,,1140716646,9791140716647,20260105,길벗,길벗알앤디,13000,11700,10.0,10.0,14
30,27,2026061020260616,S000219545154,한눈에 보는 AI 반도체 산업,"GPU부터 HBM, 파운드리, 패키징, 데이터센터까지 하나의 흐름으로 읽는 AI 반도체 생태계",1175790400,9791175790407,20260331,한빛미디어,MrTrigger,26000,23400,10.0,9.7,22
31,39,2026061020260616,S000220048974,2027 이기적 AI-POT AI 프롬프트활용능력 1급 기본서,한국생산성본부(KPC) 공식인증교재+동영상 강의 무료,8931482981,9788931482980,20260626,영진닷컴,김영진,30000,27000,10.0,0.0,0
32,35,2026061020260616,S000217048849,"AI 시대의 질문력, 프롬프트 엔지니어링",,1190488612,9791190488617,20250812,코리아닷컴,류한석,27000,24300,10.0,9.7,82
33,29,2026061020260616,S000202532365,Do it! 점프 투 파이썬,중학생도 첫날부터 실습하는 초고속 입문서,1163034738,9791163034735,20230615,이지스퍼블리싱,박응용,22000,19800,10.0,9.8,196
34,37,2026061020260616,S000218498075,2026 시나공 컴퓨터활용능력 1급 필기 기출문제집,,1140716638,9791140716630,20260105,길벗,길벗알앤디,17000,15300,10.0,9.5,19
35,42,2026061020260616,S000219981751,2026 에듀윌 AI능력시험 AICE ASSOCIATE 한권끝장,핵심이론+연습문제+실전모의고사 6회분,1136042180,9791136042187,20260514,에듀윌,박강민 외,33000,29700,10.0,10.0,2
36,44,2026061020260616,S000219568684,세컨드 브레인은 옵시디언 with 클로드 코드,"입문자를 위한 기초 사용법부터 마크다운, 플러그인, PARA, 제텔카스텐, MCP, 옵시디언 CLI, 스킬, AI 활용까지!",1194383971,9791194383970,20260413,골든래빗(주),시안,25000,22500,10.0,10.0,15
37,32,2026061020260616,S000219186294,2026 시나공 정보처리기사 실기 기본서,,1140717502,9791140717507,20260227,길벗,길벗알앤디 외,40000,36000,10.0,10.0,12
38,33,2026061020260616,S000218797359,2026 해커스 전산회계 1급 3주 합격 이론+실무+최신기출 12회분+무료특강,최신기출문제 해설강의｜이론+실무 전 강의｜KcLep 프로그램 사용법 강의｜빈출분개 100선 미니북,1174040912,9791174040916,20260102,해커스금융,이남호,31000,27900,10.0,9.8,17
39,38,2026061020260616,S000217281540,2026 이기적 컴퓨터활용능력 1급 필기+실기 올인원,막판정리 핸드북  + 동영상 강의 무료 + CBT 온라인 문제집 제공,8931479352,9788931479355,20250829,영진닷컴,홍태성 외,40000,36000,10.0,10.0,27
40,34,2026061020260616,S000217939673,AI 엔지니어링,"파운데이션 모델을 활용한 시스템 설계부터 개선까지, AI 앱 개발 원스톱 가이드",1169214274,9791169214278,20250930,한빛미디어,칩 후옌 외,40000,36000,10.0,10.0,29
41,40,2026061020260616,S000220119542,요즘 바이브 코딩 하네스 with 클로드 코드,"AI 에이전트 엔지니어링, 서브에이전트 , 스킬, SDD, 리팩터링, 헤르메스, 워크트리, 코드 리뷰, 데이터베이스, 세션 관리, 메모리, 체크포인트, 워크플로, 코드 보안 프롬프트 X 컨텍스트 X 하네스 구축의 원리와 방법",1124516190,9791124516195,20260611,골든래빗(주),조성진,30000,27000,10.0,10.0,2
42,43,2026061020260616,S000219742796,바이브 코더를 위한 최소한의 AI/IT 지식,‘이게 왜 되지?’ 개발 안 해본 개발자의 난생처음 바이브 코딩 입문서,1175790540,9791175790544,20260428,한빛미디어,클리커 외,22000,19800,10.0,10.0,15
43,57,2026061020260616,S000219801640,AI시대에 난생처음 들어보는 데이터센터 이야기,,1194687970,9791194687979,20260430,북플레이트,김주회,22000,19800,10.0,10.0,8
44,47,2026061020260616,S000217176100,2026 이기적 빅데이터분석기사 필기 기본서,동영상 강의 무료 제공,8931480334,9788931480337,20250816,영진닷컴,나홍석 외,33000,29700,10.0,9.3,78
45,41,2026061020260616,S000218191062,2026 수제비 정보처리기사 필기 기본서 세트,2025년 기출문제 + 최신 학습자료 PDF 제공 + 온라인 강의,1198881070,9791198881076,20251013,수제비출판사,윤영빈 외,36000,32400,10.0,9.9,17
46,36,2026061020260616,S000061352349,혼자 공부하는 파이썬,1:1 과외하듯 배우는 프로그래밍 자습서,1162245654,9791162245651,20220601,한빛미디어,윤인성,22000,19800,10.0,9.8,167
47,58,2026061020260616,S000219751990,에이전트 시대의 AI 시스템 설계,"RAG, 최적화, 가드레일로 완성하는 32가지 프로덕션 패턴",1175790494,9791175790490,20260427,한빛미디어,발리아파 락슈마난 외,42000,37800,10.0,9.7,6
48,48,2026061020260616,S000219349783,클로드 코드를 활용한 바이브 코딩 완벽 입문,"기본 사용법부터 MCP, 병렬 처리, 서브에이전트, 보안 설계와 응용 활용법까지",1158396686,9791158396688,20260312,위키북스,히라카와 토모히데 외,26000,23400,10.0,9.8,22
49,51,2026061020260616,S000219973671,요즘 교사를 위한 AI 바이브 코딩 활용 가이드 with 2022 개정 교육과정,"챗GPT·제미나이 캔버스부터 볼트, 러버블, AI 스튜디오, 구글 안티그래비티까지, 설치 없이, 코딩 없이, 대화만으로 완성하는 나만의 AI 수업 도구",1175790443,9791175790445,20260526,한빛미디어,공지훈 외,22000,19800,10.0,0.0,0
50,65,2026061020260616,S000220047534,AICE BASIC 실전대비서,핵심개념요약+모의고사 6종,1197471529,9791197471520,20260515,코딩엑스,조우연,20000,18000,10.0,10.0,1
51,61,2026061020260616,S000219058596,코덱스 완벽 가이드,"인공지능 코딩, AI 에이전트, 프롬프트 엔지니어링, 컨텍스트 엔지니어링, AGENTS.md, PRD, 코덱스 클라우드, 수파베이스, Spec Kit 워크플로, 토큰 최적화, 배포, v0, 스킬, 고급 사용법, 오픈라우터, 챗GPT, 멀티 프로필, LLM, MCP, 깃허브",1194383777,9791194383772,20260213,골든래빗(주),윤재원(단테),28000,25200,10.0,9.7,8
52,53,2026061020260616,S000218961160,2026 퀵패스 AI-POT AI 프롬프트 활용능력 1급,한국생산성본부(KPC) 공식인증교재,1198776269,9791198776266,20260119,퀵패스,AI 프롬프트 활용능력 연구소 외,30000,27000,10.0,9.9,30
53,49,2026061020260616,S000216111334,혼자 공부하는 머신러닝+딥러닝,케라스와 파이토치로 1:1 과외하듯 배우는 인공지능 자습서,116921360X,9791169213608,20250407,한빛미디어,박해선,32000,28800,10.0,9.9,29
54,63,2026061020260616,S000220036239,2026 해커스 전산세무 1급 한권합격 법인세 이론+실무+최신기출 12회분,+전 범위 빈출유형노트+무료특강,1176441590,9791176441599,20260526,해커스금융,이남호,35000,31500,10.0,10.0,2
55,59,2026061020260616,S000219506535,AI 자율학습 제미나이로 일 잘하는 법,"기획, 마케팅, 디자인, 영업/CS, 인사/교육 직무별 활용 사례, 나노 바나나, 비오, 리리아, 딥 리서치, 캔버스, Gems, NotebookLM, Flow, 구글 AI 스튜디오를 한 권에!",1140718401,9791140718405,20260401,길벗,성구(강성규),26000,23400,10.0,9.8,29
56,54,2026061020260616,S000218676405,2026 해커스 전산회계 2급 2주 합격 이론+실무+최신기출 15회분+무료특강,최신기출문제 해설강의｜이론+실무 전 강의｜KcLep 프로그램 사용법 강의｜빈출분개 100선 미니북,1174040866,9791174040862,20260102,해커스금융,이남호,24000,21600,10.0,10.0,18
57,56,2026061020260616,S000061584886,혼자 공부하는 컴퓨터 구조+운영체제,,1162243090,9791162243091,20220816,한빛미디어,강민철,28000,25200,10.0,9.8,116
58,89,2026061020260616,S000220120718,클로드 코워크,24시간 일하는 나만의 맞춤형 AI 비서,1194630855,9791194630852,20260615,생능북스,신승희,24000,21600,10.0,10.0,3
59,74,2026061020260616,S000220154112,진짜 쓰는 프리미어 영상 편집(2026),유튜브 및 SNS 콘텐츠 제작을 위한 동영상 편집 실무 강의,1124205535,9791124205532,20260611,제이펍,조블리(조애리),26000,23400,10.0,0.0,0
60,78,2026061020260616,S000219786427,만들면서 배우는 AI 에이전트 개발 입문+실전,"랭그래프로 완성하는 단계별 싱글·멀티 에이전트 시스템, LLM 라우팅부터 MCP와 A2A 실전 구현까지",1175790451,9791175790452,20260501,한빛미디어,박나연(공원나연),37000,33300,10.0,10.0,4
61,80,2026061020260616,S000219436120,2026 시나공 정보처리기사 실기 총정리,,1140717936,9791140717934,20260323,길벗,길벗알앤디,33000,29700,10.0,10.0,5
62,60,2026061020260616,S000219186331,2026 시나공 정보처리산업기사 실기 기본서,,1140717510,9791140717514,20260227,길벗,길벗알앤디 외,33000,29700,10.0,10.0,1
63,82,2026061020260616,S000220049027,2027 이기적 AI-POT AI 프롬프트활용능력 2급 기본서,한국생산성본부(KPC) 공식인증교재+동영상 강의 무료+실전 모의고사 수록,8931482973,9788931482973,20260612,영진닷컴,김영진,30000,27000,10.0,10.0,1
64,50,2026061020260616,S000219997033,된다! 스레드 활용법,알고리즘 타고 조회수 터지는 글쓰기 공식! 짧은 글로 시작하는 브랜딩 & 수익화,1163038571,9791163038573,20260601,이지스퍼블리싱,거북이걸음,22000,19800,10.0,10.0,13
65,64,2026061020260616,S000219882242,클로드 디자인 시작하기,퇴근은 내가! 야근은 AI가!,1186573864,9791186573860,20260526,비엘북스,조남경,25000,22500,10.0,10.0,5
66,66,2026061020260616,S000219615902,이게 되네? 오픈클로 미친 활용법 50제,"AI 에이전트, 자동화, 크롤링, 이메일, 캘린더, 카카오톡, PPT, 한글 문서, 옵시디언, 데이터 분석, SNS, 블로그, AI 전화까지 코딩 없이 50가지 업무를 자동화하는 스마트폰 속 나만의 AI 비서 실전 가이드",1124516034,9791124516034,20260504,골든래빗(주),한준구,24000,21600,10.0,10.0,9
67,79,2026061020260616,S000219564634,모두의 노션 AI,초보자도 바로 써먹는 노션 입문서,1194630677,9791194630678,20260415,생능북스,임대균 외,16800,15120,10.0,10.0,40
68,67,2026061020260616,S000219615760,2026 시나공 빅데이터분석기사 실기 Python,,1140718444,9791140718443,20260330,길벗,김태헌,32000,28800,10.0,10.0,13
69,101,2026061020260616,S000219055682,2026 시나공 정보처리기사 실기 기출문제집,,1140717499,9791140717491,20260209,길벗,길벗알앤디,23000,20700,10.0,7.2,15
70,81,2026061020260616,S000218331600,2026 이기적 정보보안기사 필기+실기 올인원,동영상 강의 무료+2025년 기출문제 수록+CBT 온라인 문제집,8931481292,9788931481297,20260115,영진닷컴,임호진,49000,44100,10.0,10.0,15
71,55,2026061020260616,S000216885310,2026 이기적 컴퓨터활용능력 2급 실기 기본서,,8931480091,9788931480092,20250720,영진닷컴,박윤정,23000,20700,10.0,10.0,43
72,62,2026061020260616,S000001032948,린 스타트업,지속적 혁신을 실현하는 창업의 과학,8966260578,9788966260577,20121112,인사이트,에릭 리스 외,18000,16200,10.0,9.4,58
73,45,2026061020260616,S000220209296,AI 에이전트 실행 세계 1: 원리편,뉴로심볼릭 월드 모델의 이론과 적용,1193229480,9791193229484,20260617,로드북,조쉬(이주환),30000,27000,10.0,0.0,0
74,84,2026061020260616,S000220053587,AI가 다 하고 내가 돈 버는 앱 만들기,"AI로 기획, 개발, 배포까지 스토어에서 1위하는 나만의 앱 만들기!",1140718878,9791140718870,20260527,길벗,서희찬,28000,25200,10.0,10.0,5
75,76,2026061020260616,S000220004671,교사를 위한 AI 에듀테크 수업·생활·업무 대백과,진짜 현장에 필요한 AI 디지털 핵심 도구 41선,8965404428,9788965404422,20260527,프리렉,송해남 외,27000,24300,10.0,10.0,13
76,92,2026061020260616,S000219616275,n8n이 다 해줌,뉴스 요약부터 투자 리포트까지 코드 없이 만드는 AI 자동화 워크플로우,1175790435,9791175790438,20260425,한빛미디어,이인영 외,28000,25200,10.0,10.0,6
77,145,2026061020260616,S000218933739,2026 흥달쌤의 정보처리기사 실기 세트,2026년 실기 이론 + 전면개정 프로그래밍언어,1193666422,9791193666425,20260115,에듀콕스,이흥직,40000,36000,10.0,10.0,5
78,95,2026061020260616,S000218323853,챗GPT·퍼플렉시티·클로드·코파일럿·제미나이 다 잘함,97가지 활용 사례로 배우는 최강 AI 5대장 완전정복,1194084249,9791194084242,20251110,리코멘드,이호정,28000,25200,10.0,9.8,53
79,114,2026061020260616,S000218322836,2026 알기사 정보보안기사(산업기사) 필기+핵심기출 1200제 세트,2013~2025년 기사/산업기사 기출문제 완벽 분석 수록/ 최고합격률과 적중률 기록(합격수기 포함) / 정보보안기사(산업기사) 필기시험 대비 이론+기출+요약집),8966113214,9788966113217,20251030,지안에듀,조현준,50000,45000,10.0,9.8,13
80,69,2026061020260616,S000217427363,"누구나 쉽게 AI 작사 & 작곡 with 생성형 인공지능, 챗GPT, 수노, 유디오","음악 장르별 특징 파악부터 가사, 광고, 영화, 대중음악 생성을 위한 프롬프트 실습까지!",1199271225,9791199271227,20250930,시프트,현병욱(오땡큐) 외,20000,18000,10.0,10.0,10
81,72,2026061020260616,S000061838415,회사는 엑셀을 가르쳐주지 않아요,,1129708322,9791129708328,20220920,메가스터디북스,쏘피(박성희),18000,16200,10.0,9.7,163
82,99,2026061020260616,S000220053902,취미가 돈이 되는 인스타툰,"인스타그램에서 연재하는 웹툰, 브랜딩부터 수익화까지 다 되는 인스타툰 작가 데뷔 성공 공식 with 프로크리에이트",1124373063,9791124373064,20260620,시프트,뇽(이건용),22000,19800,10.0,10.0,3
83,73,2026061020260616,S000220176829,바로바로 챗GPT X 덕테이프 X 코덱스,"인공지능, 에이전트, Image 2.0, 바이브 코딩, 바로 배우고 바로 써먹는 AI 입문서",1124516298,9791124516294,20260619,골든래빗(주),박현규,24000,21600,10.0,0.0,0
84,46,2026061020260616,S000220209581,AI 에이전트 실행 세계 2: 설계편,엔터프라이즈 월드 모델 구축과 운영,1193229499,9791193229491,20260617,로드북,조쉬(이주환),35000,31500,10.0,0.0,0
85,86,2026061020260616,S000219189904,2026 혜원장의 전산회계 1급 이론+실무+기출+100% 무료강의,,119469537X,9791194695370,20260201,직업상점,이혜원(혜원장),32000,28800,10.0,9.9,14
86,68,2026061020260616,S000218736962,2026 시나공 프로그래밍기능사 필기 기본서,,1140716964,9791140716968,20260112,길벗,길벗알앤디,21000,18900,10.0,10.0,3
87,94,2026061020260616,S000218238081,2026 이기적 워드프로세서 필기+실기 올인원,동영상 강의 무료 + 막판정리 핸드북 제공,893147962X,9788931479621,20251114,영진닷컴,김옥남 외,30000,27000,10.0,9.2,10
88,96,2026061020260616,S000217937565,2026 이기적 SQLD SQL 개발자 기본서 이론+기출문제,동영상 강의 무료 제공+SQL 실습문제 제공,8931477848,9788931477849,20251020,영진닷컴,강태우,24000,21600,10.0,9.6,70
89,103,2026061020260616,S000217281595,회사에서 바로 통하는 실무 엑셀 파워포인트 워드&한글,"챗GPT&AI 활용, 모든 버전 사용 가능",1169214118,9791169214117,20250819,한빛미디어,전미진 외,27000,24300,10.0,9.9,27
90,70,2026061020260616,S000216845429,2026 이기적 컴퓨터활용능력 2급 필기 기본서,,8931479301,9788931479300,20250720,영진닷컴,홍태성 외,21000,18900,10.0,9.8,61
91,71,2026061020260616,S000216758905,2026 시나공 컴퓨터활용능력 2급 필기 기본서,,1140713728,9791140713721,20250616,길벗,길벗알앤디,22000,19800,10.0,9.6,46
92,105,2026061020260616,S000216645088,된다! 하루 만에 끝내는 챗GPT 활용법,인공지능에게 일 시키고 시간 버는 법,1163037230,9791163037231,20250604,이지스퍼블리싱,프롬프트 크리에이터,20000,18000,10.0,9.9,73
93,87,2026061020260616,S000000562247,시스코 네트워킹,,8931589190,9788931589191,20240807,성안당,진강훈 외,43000,38700,10.0,9.9,35
94,98,2026061020260616,S000001981866,비전공자를 위한 이해할 수 있는 IT 지식,,1196918031,9791196918033,20200714,티더블유아이지,최원영,16800,15120,10.0,9.3,292
95,52,2026061020260616,S000219816507,2026 에듀윌 전산세무 2급 한권끝장,이론+실무+최신기출+무료특강,1136042059,9791136042057,20260501,에듀윌,김성수,29000,26100,10.0,8.7,8
96,100,2026061020260616,S000219349595,"오픈클로 with GPT, 제미나이, 클로드",내 컴퓨터에서 일하는 AI 집사,1175790311,9791175790315,20260227,한빛미디어,강민혁,22000,19800,10.0,9.1,17
97,113,2026061020260616,S000218315406,2026 이기적 CPPG 개인정보관리사 기본서,최신 기출문제 수록 + 동영상 강의 무료 제공,8931480326,9788931480320,20251103,영진닷컴,이제이 외,38000,34200,10.0,10.0,5
98,119,2026061020260616,S000220097129,"캔바로 만든 디자인, 돈이 됩니다","기획 및 포트폴리오부터 템플릿, 콘텐츠 판매까지 캔바 앰배서더 리몬이 알려주는",1140718908,9791140718900,20260619,길벗,리몬(안형선),22000,19800,10.0,9.5,15
99,75,2026061020260616,S000220120124,2026 에듀윌 전산세무 1급 한권끝장 이론+실무+최신기출+무료특강,,1136042938,9791136042934,20260604,에듀윌,박진혁,38000,34200,10.0,0.0,0
100,107,2026061020260616,S000219931097,모던 데이터 아키텍처 설계와 구현,지속적인 데이터 통합 파이프라인 구축부터 데이터 거버넌스 전략까지,1124309063,9791124309063,20260518,책만,피트하인 스트렝홀트 외,33000,29700,10.0,2.5,1
101,91,2026061020260616,S000219918223,수업에 바로 쓰는 일잘러 선생님의 캔바 Canva 활용법,"수업 설계, 학급 운영, 행사 자료 제작부터 캔바 AI, 구글 클래스룸, 패들렛, 북 크리에이터 확장 기능까지 캔바로 완성하는 슬기로운 학교생활",1124205497,9791124205495,20260514,제이펍,황은지,22000,19800,10.0,10.0,10
102,93,2026061020260616,S000218941784,누구나 아는 나만 모르는 제미나이,세상에서 가장 쉬운 제미나이 & AI 입문서,1175790079,9791175790070,20260123,한빛미디어,누나IT(이성원),19000,17100,10.0,9.7,29
103,112,2026061020260616,S000218500350,2026 시나공 정보처리기사 필기 기출문제집,,1140716654,9791140716654,20260105,길벗,길벗알앤디,23000,20700,10.0,10.0,13
104,102,2026061020260616,S000218629632,2026 시나공 컴퓨터활용능력 2급 실기 기출문제집,,1140716670,9791140716678,20260105,길벗,길벗알앤디,16000,14400,10.0,10.0,4
105,106,2026061020260616,S000215599933,밑바닥부터 시작하는 딥러닝 1(리마스터판),파이썬으로 익히는 딥러닝 이론과 구현,1169213383,9791169213387,20250124,한빛미디어,사이토 고키 외,26000,23400,10.0,10.0,33
106,118,2026061020260616,S000220161376,Do it! 오토캐드 2027 + AI,초보자도 6일이면 설계 도면 그린다!,1163038725,9791163038726,20260619,이지스퍼블리싱,박한울,31000,27900,10.0,0.0,0
107,90,2026061020260616,S000220042364,Do it! 유니티 6로 게임 제작 & 출시하기,AI 시대에 게임 업계가 바라는 제작 전략을 담았다!,116303858X,9791163038580,20260530,이지스퍼블리싱,고정운,36000,32400,10.0,0.0,0
108,83,2026061020260616,S000219975786,AI 대세전환 안티그래비티 × 바이브 코딩 압도적 업무 역량,"비개발자를 위한 실전 업무 자동화, 웹 크롤링, 웹 서비스",8965404401,9788965404408,20260528,프리렉,정용범 외,30000,27000,10.0,10.0,17
109,161,2026061020260616,S000219664474,2026 데이터분석 초보도 4주만에 합격하는 이패스 AICE Basic,AI 능력시험,1172094659,9791172094652,20260408,이패스코리아,김용재,25000,22500,10.0,10.0,2
110,109,2026061020260616,S000219519483,제미나이 교사 마스터 플랜,"구글공인트레이너 교사의 AI 수업_나노 바나나, 노트북LM, 구글 AI 스튜디오, 캔바 코드, 바이브 코딩, 앱스 스크립트",1194000142,9791194000143,20260407,책바세,한민철,30000,27000,10.0,10.0,4
111,140,2026061020260616,S000219435979,옵시디언 프로페셔널 노트,플러그인과 AI로 확장하는 지식 관리 워크플로,119408432X,9791194084327,20260325,리코멘드,구요한,25000,22500,10.0,10.0,38
112,146,2026061020260616,S000218204635,"이기적 네트워크관리사 1, 2급 필기+실기 올인원",25년 8월 최신 출제 기준 적용+동영상 강의 무료 제공,8931481217,9788931481211,20260115,영진닷컴,임호진 외,30000,27000,10.0,10.0,13
113,111,2026061020260616,S000218741638,2026 이기적 사무자동화산업기사 필기 절대족보,,8931478984,9788931478983,20260115,영진닷컴,신면철 외,20000,18000,10.0,9.9,27
114,148,2026061020260616,S000218400836,바이브 코딩 너머 개발자 생존법,"개발자는 사라지지 않는다, 진화한다",1169214479,9791169214476,20251107,한빛미디어,애디 오스마니 외,23000,20700,10.0,10.0,21
115,151,2026061020260616,S000217143722,2026 이기적 ITQ OA Master 엑셀/파워포인트 ver.2021+한글 ver.2022 올인원,,8931479506,9788931479508,20250814,영진닷컴,영진정보연구소,30000,27000,10.0,10.0,5
